Client ID,Name,Age,State,City,Location ID,Joined Bank,Banking Contact,Nationality,Occupation,Fee Structure,Loyalty Classification,Estimated Income,Superannuation Savings,Amount of Credit Cards,Credit Card Balance,Bank Loans,Bank Deposits,Checking Accounts,Saving Accounts,Foreign Currency Account,Business Lending,Properties Owned,Risk Weighting,BRId,GenderId,IAId
IND10000,Rahul Sharma,25,Telangana,Warangal,30256,18-02-2008,Suresh Iyer,Indian,Data Analyst,High,Jade,280193.55,37171.62,1,75803.29,132679.85,1630759.32,1953154.47,2184316.51,110220.31,3535594.1,0,1,2,1,4
IND10001,Sneha Singh,50,Karnataka,Bengaluru,45118,18-04-2007,Rohit Das,Indian,Data Analyst,Mid,Platinum,823539.73,244067.2,3,80434.21,4865578.82,3059348.3,1660601.49,3319324.61,309259.88,5170241.4,4,2,2,2,1
IND10002,Amit Patel,22,Gujarat,Surat,31512,08-06-2024,Suresh Das,Indian,Bank Officer,Mid,Platinum,404521.39,113028.5,2,105273.05,3417738.33,617649.95,1908585.08,2141218.11,122405.46,2773561.27,2,3,5,1,2
IND10003,Sneha Sharma,50,Karnataka,Bengaluru,42347,31-12-2013,Kunal Verma,Indian,,High,Platinum,451995.22,154777.07,3,21430.74,698151.6,5972662.41,1621542.1,2990585.11,214216.91,3501197.55,2,4,2,2,2
IND10004,Kunal Mehta,50,Maharashtra,Mumbai,15371,06-06-2008,Ankit Das,Indian,Data Analyst,Mid,Jade,816094.01,145734.47,2,145661.76,4303898.51,141274.12,2164958.24,2730024.37,268485.17,1600951.14,5,5,3,1,1
IND10005,Kavita Das,22,Karnataka,Mysuru,95646,23-08-2024,Kunal Iyer,Indian,System Administrator,High,Silver,1076992.64,96548.99,4,91345.53,764196.34,6111960.86,1622743.3,3116719.65,265176.84,3431.38,2,1,4,2,1
IND10006,Rahul Kumar,25,Gujarat,Surat,8592,28-05-2010,Rohit Verma,Indian,IT Consultant,Low,Gold,371971.89,147831.89,4,24769.04,2638368.94,4872421.64,2893445.09,3716364.84,377632.6,4139205.79,5,2,3,1,4
IND10007,Sneha Mehta,22,West Bengal,Howrah,33493,15-01-2010,Rohit Kumar,Indian,Software Engineer,High,Gold,809018.11,12085.34,0,34341.27,4527100.07,6884101.43,221863.48,959638.49,334488.89,1285420.84,1,3,5,2,5
IND10008,Arjun Patel,50,Gujarat,Surat,54354,09-04-2009,Suresh Verma,Indian,Business Analyst,Mid,Jade,640547.16,260512.66,0,101004.68,4920826.06,832422.08,1213837.63,1363817.4,430836.27,1491938.0,1,4,5,1,4
IND10009,Anjali Das,35,Karnataka,Mysuru,33742,12-08-2024,Rohit Mehta,Indian,Support Engineer,Low,Silver,869537.65,166770.5,0,145349.44,4631834.92,6797131.09,507270.22,1947708.09,106873.65,2406241.76,0,5,2,2,4
IND10010,Amit Das,30,Tamil Nadu,Coimbatore,56444,16-08-2020,Nisha Mehta,Indian,System Administrator,Low,Platinum,456815.85,26960.15,4,9143.64,1568024.05,448631.58,1435597.67,3678354.65,265563.07,341277.48,4,1,1,1,2
IND10011,Neha Reddy,50,Maharashtra,Nagpur,31828,21-01-2014,Suresh Reddy,Indian,Network Engineer,High,Silver,838412.43,131575.23,4,84784.04,1581849.23,2123087.28,2012480.66,1263593.61,132807.26,785269.69,5,2,3,2,4
IND10012,Ankit Verma,40,Maharashtra,Pune,74792,31-03-2007,Rohit Iyer,Indian,Network Engineer,High,Platinum,375833.74,111212.56,0,131890.54,1847635.44,1304087.32,2502897.41,2817124.3,305838.88,5923398.38,5,3,5,1,1
IND10013,Nisha Singh,25,Telangana,Hyderabad,35664,04-08-2007,Suresh Iyer,Indian,System Administrator,Mid,Platinum,824588.34,218107.53,1,103124.57,4264564.08,4068002.01,760852.54,3633554.59,25399.45,3805706.68,2,4,1,2,1
IND10014,Ankit Gupta,25,Telangana,Warangal,98154,29-11-2014,Nisha Das,Indian,,Low,Silver,321481.67,266100.85,1,81838.54,4172975.1,4680951.05,452800.42,518507.62,154129.17,5393888.93,0,5,3,1,2
IND10015,Pooja Verma,50,Tamil Nadu,Madurai,54264,03-12-2018,Ramesh Patel,Indian,System Administrator,Low,Jade,273547.04,223603.7,2,117357.97,2058565.83,5375761.68,2207822.04,1000187.29,79598.92,4207669.13,3,1,1,2,4
IND10016,Suresh Patel,30,Gujarat,Surat,41001,28-05-2023,Arjun Patel,Indian,Software Engineer,High,Gold,628542.68,90794.89,0,145033.37,1395624.96,5149779.82,1205038.37,3924787.25,268107.87,5635422.84,0,2,3,1,2
IND10017,Kavita Sharma,35,Maharashtra,Nagpur,46309,05-05-2021,Neha Das,Indian,Support Engineer,Low,Jade,1104529.5,65122.84,0,106317.79,8456.39,7408322.57,1619971.47,2880525.7,370975.04,4023771.03,2,3,4,2,1
IND10018,Ankit Reddy,50,Tamil Nadu,Madurai,17334,22-02-2021,Priya Iyer,Indian,Bank Officer,High,Jade,559873.76,212190.44,4,19093.17,2102231.67,7525891.18,2035180.66,3612194.13,307757.46,1805699.25,4,4,1,1,3
IND10019,Kavita Patel,35,Delhi,New Delhi,58905,02-12-2014,Vikas Iyer,Indian,IT Consultant,High,Gold,875908.21,92298.06,4,50278.24,4092117.32,6021548.19,2021659.05,906316.26,99564.97,146552.33,1,5,4,2,5
IND10020,Rahul Mehta,45,Delhi,New Delhi,92272,12-08-2013,Ritu Das,Indian,Network Engineer,Low,Silver,1098026.83,259527.76,0,116763.06,1094205.68,6442673.36,2090776.21,1863554.04,278702.9,5504820.09,0,1,4,1,2
IND10021,Asha Iyer,50,West Bengal,Howrah,59008,28-09-2018,Asha Das,Indian,Support Engineer,Mid,Gold,956472.67,147655.59,2,112766.52,4199314.44,2254625.26,2335247.76,1943542.1,119622.93,2639235.56,5,2,3,2,2
IND10022,Ramesh Kumar,22,Tamil Nadu,Madurai,19136,20-05-2008,Arjun Das,Indian,System Administrator,High,Gold,311017.41,128203.82,4,69888.65,311328.55,6671484.8,1174535.67,3081485.13,473031.02,117191.74,4,3,4,1,4
IND10023,Priya Kumar,50,Tamil Nadu,Coimbatore,55921,27-01-2017,Nisha Reddy,Indian,Network Engineer,Mid,Gold,509288.55,150836.18,3,50419.43,3395709.43,3264317.52,503483.75,1874886.7,63813.9,3733541.77,0,4,4,2,5
IND10024,Amit Verma,25,Telangana,Warangal,61515,28-01-2009,Rahul Singh,Indian,Business Analyst,Mid,Gold,681964.36,107875.16,3,41738.49,4756020.6,3401440.37,2506383.64,1886524.28,374512.13,312513.65,2,5,2,1,1
IND10025,Priya Sharma,50,Karnataka,Bengaluru,3671,08-12-2018,Ramesh Patel,Indian,System Administrator,Mid,Silver,785771.1,73209.72,2,115034.71,838945.72,4877617.58,2246297.7,466986.16,409650.59,5788324.64,0,1,5,2,1
IND10026,Ramesh Reddy,35,Telangana,Warangal,94718,13-06-2009,Rohit Reddy,Indian,Network Engineer,Low,Platinum,1057778.58,184119.37,0,119434.08,2829662.78,376499.59,1602908.28,2649470.15,34478.37,3885259.52,0,2,4,1,4
IND10027,Neha Das,50,Tamil Nadu,Madurai,61258,12-11-2020,Ramesh Das,Indian,System Administrator,High,Platinum,835116.74,276689.12,3,69731.07,4128672.99,4760173.22,973690.7,989525.72,467310.94,1673569.5,3,3,2,2,4
IND10028,Vikas Kumar,50,Maharashtra,Pune,43600,29-01-2009,Ritu Patel,Indian,Accountant,Mid,Platinum,515675.56,182884.95,2,83368.65,2583136.26,1568898.57,731654.59,1631648.22,277588.11,,3,4,4,1,4
IND10029,Priya Verma,35,Tamil Nadu,Chennai,91673,17-06-2010,Priya Reddy,Indian,,Mid,Platinum,654228.62,226321.28,2,52771.58,2268726.31,2487652.78,699308.74,2887924.48,157773.97,4457286.38,5,5,2,2,2
IND10030,Suresh Mehta,40,Tamil Nadu,Madurai,69765,21-05-2018,Priya Verma,Indian,Network Engineer,Mid,Gold,592837.02,97657.6,4,18987.44,227578.5,483481.86,883488.57,3776917.56,318934.83,4516753.05,0,1,1,1,5
IND10031,Kavita Mehta,30,Delhi,New Delhi,25164,25-02-2006,Kunal Mehta,Indian,,Low,Jade,717159.23,177336.14,0,22759.05,4055710.38,7595548.86,264690.92,1000281.91,279036.52,2497044.13,4,2,5,2,2
IND10032,Kunal Das,30,Delhi,New Delhi,78139,14-08-2014,Priya Reddy,Indian,Software Engineer,High,Silver,1150210.69,70258.49,1,39696.92,405937.33,1956928.16,1660456.81,634565.14,204258.79,4136226.81,3,3,3,1,1
IND10033,Pooja Singh,45,Telangana,Warangal,60510,07-08-2006,Arjun Singh,Indian,,Mid,Silver,767334.26,197814.07,2,123994.67,357049.18,1369086.17,929759.32,2998341.31,284603.52,1731663.53,0,4,4,2,3
IND10034,Vikas Singh,35,West Bengal,Howrah,11543,01-06-2018,Rahul Das,Indian,Accountant,High,Platinum,274571.65,76388.08,4,88068.44,103727.28,6129845.02,2466049.52,2309225.47,381554.5,1051144.37,4,5,4,1,3
IND10035,Anjali Reddy,22,Delhi,New Delhi,62605,21-10-2012,Kavita Kumar,Indian,,High,Silver,1064846.44,105643.06,3,43232.67,4725967.7,6517849.98,1654788.86,1824755.38,157258.58,1939642.72,3,1,5,2,1
IND10036,Kunal Mehta,25,Delhi,New Delhi,68952,11-02-2013,Ritu Mehta,Indian,Software Engineer,Low,Platinum,771758.66,279025.1,3,132126.99,2423558.98,279512.07,1893766.61,3199261.8,354891.41,1864500.83,0,2,5,1,4
IND10037,Neha Patel,35,Gujarat,Ahmedabad,16396,13-07-2019,Ramesh Mehta,Indian,Bank Officer,High,Platinum,644715.83,149924.88,3,36559.64,2756325.38,3099508.81,2766385.77,2037881.16,439663.13,5184161.61,2,3,4,2,3
IND10038,Kunal Singh,30,Gujarat,Ahmedabad,96164,12-09-2011,Ritu Gupta,Indian,IT Consultant,High,Jade,577867.74,170056.05,4,56581.51,4664261.28,6963333.38,2942516.15,962834.12,191485.42,5136077.86,3,4,1,1,3
IND10039,Asha Das,35,Delhi,New Delhi,5852,01-11-2007,Asha Reddy,Indian,,Low,Jade,344726.11,274028.09,0,108366.57,2049893.1,5255511.55,471540.04,1883267.5,484601.82,2031367.4,5,5,4,2,1
IND10040,Ankit Iyer,45,Delhi,New Delhi,95203,26-11-2024,Ritu Iyer,Indian,Software Engineer,High,Silver,473031.73,208475.88,2,149613.89,3733831.83,3500073.2,304344.95,2538653.84,436289.62,2662071.31,5,1,3,1,1
IND10041,Priya Kumar,30,Gujarat,Ahmedabad,47984,29-05-2013,Kavita Gupta,Indian,Network Engineer,High,Jade,787631.66,239830.65,1,26260.4,3047458.93,3091227.17,2052572.39,1995692.34,291578.57,1393130.67,5,2,3,2,4
IND10042,Ramesh Sharma,30,Gujarat,Surat,89815,05-04-2017,Ankit Verma,Indian,IT Consultant,Mid,Platinum,856991.77,133049.59,2,68525.37,1510608.35,7995019.85,2561473.02,435546.54,190682.15,2153754.95,2,3,3,1,1
IND10043,Ritu Singh,50,Maharashtra,Nagpur,90889,16-06-2022,Rahul Reddy,Indian,IT Consultant,Mid,Gold,826711.75,112173.08,1,93133.67,3388822.29,5781380.59,1980952.81,3354965.1,314124.05,5420422.22,5,4,1,2,3
IND10044,Arjun Sharma,45,West Bengal,Howrah,18224,09-01-2007,Priya Kumar,Indian,Business Analyst,Low,Gold,375551.81,166428.25,2,79627.86,4567434.87,6652257.33,778340.55,3300512.35,240923.91,4838930.96,5,5,3,1,1
IND10045,Asha Verma,50,Karnataka,Bengaluru,89647,30-03-2021,Pooja Iyer,Indian,Accountant,Low,Jade,263222.72,165605.97,3,55287.85,3745058.02,2134183.2,1149266.24,2557811.58,185736.82,4049019.33,3,1,1,2,5
IND10046,Kunal Kumar,45,West Bengal,Kolkata,9285,03-04-2019,Sneha Singh,Indian,Business Analyst,Low,Gold,293079.47,20791.52,3,17418.07,1174000.16,4323495.52,1172051.04,1490335.95,474690.38,4178903.95,4,2,4,1,5
IND10047,Anjali Das,50,Telangana,Hyderabad,65139,23-10-2018,Kavita Singh,Indian,Software Engineer,High,Platinum,456406.2,138961.8,1,,496773.12,5501158.11,1637952.93,3911591.69,179336.92,2388837.86,1,3,1,2,4
IND10048,Rahul Patel,22,Telangana,Hyderabad,44713,19-06-2010,Ramesh Reddy,Indian,Network Engineer,Low,Gold,807063.93,245785.36,1,49283.93,737770.9,7209221.73,18478.3,3435040.44,72343.99,779952.79,2,4,2,1,1
IND10049,Priya Gupta,50,Maharashtra,Pune,32186,17-03-2018,Neha Sharma,Indian,System Administrator,Mid,Silver,370420.62,132078.56,0,111849.79,2381229.83,6235235.46,1544581.49,445125.5,251919.34,5672493.86,0,5,5,2,3
IND10050,Arjun Sharma,50,Maharashtra,Pune,53640,25-07-2014,Suresh Mehta,Indian,IT Consultant,Low,Silver,556006.23,53016.81,1,41252.4,3165383.62,4409433.65,982304.48,3978564.75,265278.42,,4,1,4,1,1
IND10051,Neha Iyer,35,Telangana,Hyderabad,60186,02-12-2024,Arjun Das,Indian,Accountant,Mid,Jade,645190.17,37574.89,3,46878.54,1274448.98,7631060.52,2063594.9,1902328.86,45612.39,512186.14,3,2,1,2,3
IND10052,Rohit Iyer,40,Maharashtra,Nagpur,74620,24-05-2012,Suresh Das,Indian,Accountant,High,Jade,1074687.54,219107.6,2,90061.51,1758230.93,4644452.22,646089.03,2630377.85,112122.43,649310.29,4,3,3,1,1
IND10053,Kavita Reddy,50,Karnataka,Mysuru,74526,19-03-2022,Nisha Sharma,Indian,Bank Officer,Low,Gold,,231098.76,2,52653.51,907027.79,1188849.35,1975460.46,287645.83,370484.53,5830861.91,0,4,5,2,2
IND10054,Vikas Das,25,Delhi,New Delhi,49503,28-12-2011,Neha Reddy,Indian,Data Analyst,Low,Gold,399539.4,189173.07,0,40815.43,3309693.46,3911010.55,1331712.12,1099935.71,377471.57,682905.05,3,5,1,1,3
IND10055,Asha Iyer,22,Telangana,Warangal,29903,12-11-2013,Rahul Sharma,Indian,Network Engineer,Mid,Gold,978982.05,231606.66,2,49218.35,38649.53,5988762.28,535327.46,1527027.71,351835.63,3001574.08,5,1,3,2,1
IND10056,Vikas Sharma,35,Delhi,New Delhi,11205,03-05-2024,Neha Reddy,Indian,Business Analyst,High,Jade,924024.01,131131.25,0,60754.85,4830998.46,1416391.79,2843366.78,1845786.64,344805.02,2171116.15,3,2,1,1,2
IND10057,Ritu Reddy,35,Delhi,New Delhi,41668,23-09-2021,Neha Patel,Indian,Accountant,Low,Silver,734959.12,43067.73,4,29085.56,3881141.15,2841242.89,2875087.81,2585317.47,73844.92,616827.17,2,3,2,2,2
IND10058,Rohit Verma,35,Karnataka,Mangaluru,61811,03-12-2021,Sneha Reddy,Indian,Accountant,High,Platinum,393409.53,29803.01,3,94707.77,3981648.4,4751787.07,1062307.25,306020.72,230871.24,225643.47,2,4,3,1,1
IND10059,Neha Reddy,35,West Bengal,Howrah,77064,07-06-2017,Rahul Mehta,Indian,Network Engineer,Mid,Jade,726298.94,287739.48,3,15525.28,4495634.17,2780330.32,2145803.49,2023150.52,86279.46,1486462.34,3,5,4,2,5
IND10060,Kunal Reddy,30,Karnataka,Mysuru,38079,09-09-2013,Kavita Kumar,Indian,Software Engineer,High,Platinum,312616.26,37406.72,3,42622.05,3618668.28,5269684.49,2719964.66,3494385.85,166681.02,,1,1,3,1,3
IND10061,Ritu Gupta,30,West Bengal,Kolkata,74259,13-06-2013,Neha Gupta,Indian,Support Engineer,Low,Jade,733064.06,15286.86,2,,1070963.31,7583962.73,1463950.05,913906.76,68782.68,462990.51,0,2,5,2,5
IND10062,Kunal Sharma,50,Telangana,Warangal,82006,10-12-2007,Pooja Gupta,Indian,System Administrator,Low,Gold,935123.85,22670.8,2,101454.44,1187651.01,3581379.74,861934.52,2996660.71,224463.98,3204066.9,2,3,4,1,2
IND10063,Sneha Reddy,50,Delhi,New Delhi,37932,15-06-2022,Pooja Iyer,Indian,Support Engineer,Mid,Gold,1026046.68,242365.18,1,130950.29,260899.02,3870695.71,1119924.2,3737831.28,355700.49,3095456.33,0,4,3,2,1
IND10064,Rohit Singh,50,Delhi,New Delhi,58340,22-01-2007,Arjun Mehta,Indian,Accountant,Low,Jade,300594.04,155582.06,1,,408027.19,1835083.13,962867.78,405341.67,357352.14,2011742.14,1,5,2,1,1
